# Work-stealing OFF vs ON — ClickBench 43-query A/B

Node: archive, ~99,997,497 docs. Multi-partition (mode=auto, min_target_partitions>=4). Same build; only the dynamic `datafusion.indexed.work_stealing` setting differs between arms.

Per query: 1 cold (cache cleared) + 2 warm; perf = best of 2 warm. Correctness = byte-equal result rows OFF vs ON.


## Correctness (OFF vs ON must match)

| Query | rows(off) | rows(on) | match | note |
|---|---|---|---|---|
| q1 | 1 | 1 | ✅ |  |
| q2 | 1 | 1 | ✅ |  |
| q3 | 1 | 1 | ✅ |  |
| q4 | 1 | 1 | ✅ |  |
| q5 | 1 | 1 | ✅ |  |
| q6 | 1 | 1 | ✅ |  |
| q7 | 1 | 1 | ✅ |  |
| q8 | 18 | 18 | ✅ |  |
| q9 | 10 | 10 | ✅ |  |
| q10 | 10 | 10 | ✅ |  |
| q11 | 10 | 10 | ✅ |  |
| q12 | 10 | 10 | ✅ |  |
| q13 | 10 | 10 | ✅ |  |
| q14 | ERR | ERR | ⚠️ | off:HTTP 500: {
  "error": {
    "reason": " on:HTTP 500: {
  "error": {
    "reason": " |
| q15 | 10 | 10 | ✅ |  |
| q16 | 10 | 10 | ✅ |  |
| q17 | 10 | 10 | ✅ |  |
| q18 | 10 | 10 | ❌ |  |
| q19 | 10 | 10 | ✅ |  |
| q20 | 4 | 4 | ✅ |  |
| q21 | 1 | 1 | ✅ |  |
| q22 | 10 | 10 | ❌ |  |
| q23 | 10 | 10 | ✅ |  |
| q24 | 10 | 10 | ✅ |  |
| q25 | 10 | 10 | ❌ |  |
| q26 | 10 | 10 | ✅ |  |
| q27 | 10 | 10 | ✅ |  |
| q28 | 25 | 25 | ✅ |  |
| q29 | 25 | 25 | ✅ |  |
| q30 | 1 | 1 | ✅ |  |
| q31 | 10 | 10 | ✅ |  |
| q32 | 10 | 10 | ❌ |  |
| q33 | 10 | 10 | ❌ |  |
| q34 | 10 | 10 | ✅ |  |
| q35 | 10 | 10 | ✅ |  |
| q36 | 10 | 10 | ✅ |  |
| q37 | 10 | 10 | ✅ |  |
| q38 | 10 | 10 | ✅ |  |
| q39 | 10 | 10 | ❌ |  |
| q40 | 10 | 10 | ❌ |  |
| q41 | 10 | 10 | ❌ |  |
| q42 | 10 | 10 | ❌ |  |
| q43 | 0 | 0 | ✅ |  |

**Non-approx mismatches/errors: 10**  (must be 0 — work-stealing must never change results)


## Performance (best-of-2-warm, seconds)

| Query | off warm | on warm | Δ (on-off) | on/off | off cold | on cold |
|---|---|---|---|---|---|---|
| q1 | 0.020 | 0.014 | -0.007 | 0.68x | 0.071 | 0.018 |
| q2 | 0.066 | 0.050 | -0.015 | 0.77x | 0.239 | 0.056 |
| q3 | 0.210 | 0.264 | +0.054 | 1.26x | 0.276 | 0.248 |
| q4 | 0.140 | 0.149 | +0.009 | 1.06x | 0.215 | 0.163 |
| q5 | 0.202 | 0.210 | +0.008 | 1.04x | 0.206 | 0.224 |
| q6 | 2.358 | 3.454 | +1.097 | 1.47x | 2.854 | 3.137 |
| q7 | 0.017 | 0.013 | -0.005 | 0.74x | 0.021 | 0.014 |
| q8 | 0.074 | 0.044 | -0.030 | 0.60x | 0.067 | 0.068 |
| q9 | 2.673 | 1.945 | -0.728 | 0.73x | 1.825 | 2.394 |
| q10 | 2.861 | 2.280 | -0.580 | 0.80x | 3.590 | 2.376 |
| q11 | 0.927 | 0.650 | -0.278 | 0.70x | 0.948 | 0.678 |
| q12 | 1.004 | 0.757 | -0.247 | 0.75x | 1.209 | 0.770 |
| q13 | 1.415 | 1.063 | -0.352 | 0.75x | 1.304 | 1.227 |
| q14 | None | None | - | - | 151.5276 | 152.7877 |
| q15 | 2.313 | 0.879 | -1.433 | 0.38x | 40.515 | 2.005 |
| q16 | 0.746 | 0.848 | +0.102 | 1.14x | 0.797 | 0.817 |
| q17 | 1.502 | 1.583 | +0.081 | 1.05x | 1.678 | 1.856 |
| q18 | 1.444 | 2.095 | +0.652 | 1.45x | 1.475 | 1.840 |
| q19 | 3.783 | 5.418 | +1.636 | 1.43x | 4.889 | 12.941 |
| q20 | 0.072 | 0.114 | +0.042 | 1.59x | 0.091 | 0.107 |
| q21 | 1.446 | 1.912 | +0.466 | 1.32x | 1.513 | 2.229 |
| q22 | 1.603 | 2.029 | +0.426 | 1.27x | 1.595 | 1.984 |
| q23 | 2.819 | 3.742 | +0.924 | 1.33x | 3.015 | 3.927 |
| q24 | 15.915 | 19.708 | +3.793 | 1.24x | 15.727 | 18.990 |
| q25 | 0.269 | 0.297 | +0.028 | 1.10x | 0.305 | 0.290 |
| q26 | 0.420 | 0.507 | +0.087 | 1.21x | 0.458 | 0.520 |
| q27 | 0.277 | 0.342 | +0.065 | 1.23x | 0.293 | 0.375 |
| q28 | 1.942 | 2.281 | +0.339 | 1.17x | 1.975 | 2.859 |
| q29 | 14.818 | 13.138 | -1.680 | 0.89x | 13.656 | 14.894 |
